date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:51	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:50%20GMT	https://pavlolevchukknm201.wixsite.com/5d29307d.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/5d29307d.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:51	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:51%20GMT	https://pavlolevchukknm201.wixsite.com/85af43ab.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/85af43ab.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:51	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:51%20GMT	https://pavlolevchukknm201.wixsite.com/7010eb60.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/7010eb60.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:52	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:51%20GMT	https://pavlolevchukknm201.wixsite.com/2ea14c65.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/2ea14c65.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:52	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:52%20GMT	https://pavlolevchukknm201.wixsite.com/3bc2d49b.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/3bc2d49b.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:52	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:52%20GMT	https://pavlolevchukknm201.wixsite.com/2ad73389.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/2ad73389.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:53	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:52%20GMT	https://pavlolevchukknm201.wixsite.com/b70e763c.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/b70e763c.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:53	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:52%20GMT	https://pavlolevchukknm201.wixsite.com/faa86952.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/faa86952.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:53	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:53%20GMT	https://pavlolevchukknm201.wixsite.com/566bec70.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/566bec70.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:53	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:53%20GMT	https://pavlolevchukknm201.wixsite.com/fc40122e.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/fc40122e.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
